ticker,date,signal,score,rsi,close,entry,stop,tp1,tp2,exit,exit_reason,rr_planned,ret_pct_net
MAGN,2025-11-05,ЛОНГ,7,38.2,24.68,24.7124,23.36,27.48,28.09,26.575,timeout,2.05,7.337
MAGN,2025-11-06,ЛОНГ,7,38.2,24.68,24.6823,23.4,27.48,28.09,26.61,timeout,2.18,7.61
MAGN,2025-11-07,ЛОНГ,5,40.9,24.93,24.9825,23.48,27.48,28.09,26.87,timeout,1.66,7.355
IRAO,2025-07-09,ЛОНГ,7,34.4,3.12,3.1226,3.03,3.29,3.37,3.03,stop,1.81,-3.164
IRAO,2025-07-10,ЛОНГ,7,33.2,3.11,3.1101,3.03,3.29,3.37,3.03,stop,2.25,-2.774
IRAO,2025-07-11,ЛОНГ,7,29.0,3.06,3.064,2.99,3.29,3.37,3.1015,timeout,3.05,1.023
IRAO,2025-07-12,ЛОНГ,7,28.8,3.06,3.0605,2.98,3.29,3.37,3.1655,timeout,2.85,3.23
IRAO,2025-07-13,ЛОНГ,9,28.6,3.06,3.042,2.98,3.29,3.37,3.184,timeout,4.0,4.467
IRAO,2025-07-14,ЛОНГ,5,40.4,3.12,3.1176,3.03,3.29,3.37,3.253,timeout,1.97,4.144
IRAO,2025-07-15,ЛОНГ,7,38.7,3.1,3.1021,3.03,3.29,3.37,3.29,tp1,2.61,5.859
IRAO,2025-07-16,ЛОНГ,5,41.5,3.12,3.1191,3.05,3.29,3.37,3.29,tp1,2.48,5.281
IRAO,2025-09-22,ЛОНГ,5,36.1,3.09,3.0915,3.02,3.2,3.27,3.02,stop,1.52,-2.514
IRAO,2025-10-03,ЛОНГ,5,24.4,2.95,2.9475,2.87,3.2,3.27,2.87,stop,3.26,-2.828
IRAO,2025-10-04,ЛОНГ,6,21.6,2.91,2.9125,2.84,3.09,3.16,2.84,stop,2.45,-2.688
IRAO,2025-10-10,ЛОНГ,5,21.1,2.76,2.7629,2.66,3.09,3.16,2.66,stop,3.18,-3.924
IRAO,2025-10-11,ЛОНГ,5,22.2,2.77,2.7724,2.66,3.09,3.16,2.66,stop,2.83,-4.254
IRAO,2025-10-14,ЛОНГ,5,15.8,2.62,2.6248,2.5,3.09,3.16,2.8215,timeout,3.73,7.293
TATN,2025-07-08,ЛОНГ,7,34.2,621.2,621.3105,601.14,672.85,687.68,601.14,stop,2.56,-3.446
TATN,2025-07-09,ЛОНГ,7,31.9,614.2,615.3075,595.58,672.85,687.68,672.85,tp1,2.92,9.152
TATN,2025-07-10,ЛОНГ,5,38.0,623.8,622.6111,599.68,672.85,687.68,599.68,stop,2.19,-3.883
TATN,2025-07-11,ЛОНГ,7,32.8,608.1,610.305,588.5,672.85,687.68,672.85,tp1,2.87,10.048
TATN,2025-09-13,ЛОНГ,7,36.0,641.4,643.9218,625.89,664.67,679.32,625.89,stop,1.15,-3.0
TATN,2025-09-14,ЛОНГ,5,37.3,642.8,643.3215,625.89,664.67,679.32,625.89,stop,1.22,-2.91
TATN,2025-09-15,ЛОНГ,5,36.8,641.9,643.1214,626.37,664.67,679.32,626.37,stop,1.29,-2.805
TATN,2025-09-18,ЛОНГ,5,26.8,620.4,620.7102,604.26,664.67,679.32,604.26,stop,2.67,-2.85
TATN,2025-09-19,ЛОНГ,5,25.4,616.5,616.8083,593.92,664.67,679.32,593.92,stop,2.09,-3.911
TATN,2025-09-23,ЛОНГ,5,27.4,610.3,612.8062,579.91,664.67,679.32,579.91,stop,1.58,-5.568
TATN,2025-10-03,ЛОНГ,5,26.4,581.8,582.0909,555.83,646.7,660.96,555.83,stop,2.46,-4.711
TATN,2025-10-04,ЛОНГ,6,24.4,572.8,573.0864,546.71,646.7,660.96,546.71,stop,2.79,-4.803
TATN,2025-10-27,ЛОНГ,7,31.3,517.1,517.3586,477.98,609.68,623.12,598.3,timeout,2.34,15.445
TATN,2025-10-28,ЛОНГ,8,32.2,519.8,522.5611,479.6,609.68,623.12,623.12,tp2,2.03,19.043
TATN,2025-10-29,ЛОНГ,5,38.0,536.9,536.6682,495.46,609.68,623.12,623.12,tp2,1.77,15.909
TATN,2025-10-31,ЛОНГ,6,37.8,531.9,532.366,492.14,609.68,623.12,623.12,tp2,1.92,16.847
TATN,2025-11-01,ЛОНГ,5,39.7,537.4,538.4691,501.46,609.68,623.12,623.12,tp2,1.92,15.521
TATN,2026-01-13,ЛОНГ,5,31.9,546.8,553.2765,525.27,566.96,579.46,566.96,tp1,0.49,2.273
TATN,2026-02-11,ЛОНГ,5,32.6,543.7,545.3726,526.9,566.96,579.46,579.46,tp2,1.17,6.05
TATN,2026-02-24,ЛОНГ,5,34.8,542.5,543.2715,530.79,566.96,579.46,579.46,tp2,1.9,6.461
TATN,2026-02-26,ЛОНГ,7,31.8,539.6,540.5701,529.94,566.96,579.46,579.46,tp2,2.48,6.994
TATN,2026-02-27,ЛОНГ,7,38.6,543.0,547.2735,532.05,566.96,579.46,579.46,tp2,1.29,5.681
TATN,2026-03-29,ШОРТ,-5,75.5,677.5,677.2612,714.34,670.34,655.62,670.34,tp1,0.19,0.822
NMTP,2025-07-15,ЛОНГ,5,19.3,8.51,8.5293,8.21,9.31,9.52,8.695,timeout,2.45,1.743
NMTP,2025-07-17,ЛОНГ,5,18.2,8.46,8.4992,8.17,9.31,9.52,8.86,timeout,2.46,4.045
NMTP,2025-09-26,ЛОНГ,5,30.8,8.37,8.3892,7.97,8.76,8.96,8.76,tp1,0.88,4.22
NMTP,2025-10-01,ЛОНГ,5,25.9,8.21,8.1841,7.92,8.76,8.96,8.76,tp1,2.18,6.837
