ticker,date,signal,score,entry,ret_5d,win_5d,ret_10d,win_10d,ret_20d,win_20d,ind_RSI,ind_MACD,ind_EMA_trend,ind_OBV,ind_RSI_div,ind_Candles,ind_Bollinger,ind_Volume,ind_MA_align,ind_Stoch
NMTP,2025-09-24,ЛОНГ,3,8.54,-3.16,False,-4.34,False,-4.22,False,1,-1,1,0,0,0,2,0,-1,1
NMTP,2025-09-27,ЛОНГ,3,8.38,-0.83,False,0.3,True,2.68,True,1,-1,1,0,0,0,2,-1,-1,2
NMTP,2025-09-30,ЛОНГ,3,8.24,-0.06,False,-0.12,False,5.7,True,2,-1,1,0,0,0,1,0,-1,1
NMTP,2025-10-01,ЛОНГ,3,8.21,2.13,True,0.49,True,4.45,True,2,-1,1,0,0,0,1,0,-1,1
NMTP,2025-10-02,ЛОНГ,4,8.31,1.14,True,-1.26,False,1.38,True,2,-1,1,0,0,0,1,0,-1,2
NMTP,2025-10-19,ШОРТ,-4,8.69,-4.95,True,-3.51,True,-4.03,True,-1,1,-1,-1,0,0,-2,0,1,-1
NMTP,2025-10-20,ШОРТ,-3,8.71,-7.17,True,-2.81,True,-4.3,True,-1,1,-1,-1,0,0,-1,0,1,-1
NMTP,2025-10-21,ШОРТ,-3,8.57,-3.09,True,-0.7,True,-4.49,True,-1,1,-1,0,0,0,-1,0,1,-2
NMTP,2025-11-03,ЛОНГ,3,8.51,0.18,True,-3.82,False,1.18,True,0,2,-1,0,2,0,0,0,0,0
NMTP,2025-11-13,ШОРТ,-4,8.34,-1.5,True,3.72,False,6.83,False,0,-2,-1,-1,0,0,0,0,0,0
NMTP,2025-11-26,ШОРТ,-3,8.61,-0.87,True,2.15,False,0.93,False,-1,1,-1,0,0,0,-1,0,0,-1
NMTP,2025-12-03,ЛОНГ,3,8.76,0.97,True,0.57,True,-2.63,False,0,1,1,0,0,0,0,0,1,0
NMTP,2025-12-30,ШОРТ,-3,8.63,-0.41,True,0.29,False,2.55,False,0,-1,1,0,0,-1,0,-1,-1,0
NMTP,2026-01-17,ЛОНГ,5,8.66,1.73,True,2.25,True,0.4,True,0,2,1,-1,2,0,0,1,0,0
NMTP,2026-01-18,ЛОНГ,3,8.7,1.72,True,1.26,True,0.0,False,0,1,1,-1,2,0,0,0,0,0
NMTP,2026-01-20,ЛОНГ,4,8.66,2.54,True,0.23,True,0.12,True,0,1,1,-1,2,0,-1,1,1,0
NMTP,2026-01-21,ЛОНГ,3,8.79,-0.11,False,-0.8,False,-0.63,False,0,1,1,-1,2,0,0,0,0,0
NMTP,2026-01-22,ЛОНГ,3,8.81,0.51,True,-0.79,False,-1.42,False,0,1,1,0,2,0,-2,1,1,-1
