ticker,date,signal,score,entry,ret_5d,win_5d,ret_10d,win_10d,ret_20d,win_20d,ind_RSI,ind_MACD,ind_EMA_trend,ind_OBV,ind_RSI_div,ind_Candles,ind_Bollinger,ind_Volume,ind_MA_align,ind_Stoch
TATN,2025-09-14,ЛОНГ,6,642.8,-4.09,False,0.48,True,-7.92,False,1,-1,0,0,3,0,2,0,0,1
TATN,2025-10-13,ЛОНГ,5,595.3,3.29,True,-5.01,False,-9.02,False,0,2,0,0,3,0,0,0,0,0
TATN,2025-10-14,ЛОНГ,5,557.5,9.27,True,-0.07,False,0.9,True,0,1,0,0,3,0,0,1,0,0
TATN,2025-10-18,ЛОНГ,5,614.9,-8.03,False,-11.45,False,-8.73,False,0,2,0,0,3,0,0,1,0,-1
TATN,2025-10-28,ЛОНГ,6,519.8,6.39,True,8.2,True,15.1,True,1,-1,0,0,3,0,2,0,0,1
TATN,2025-10-29,ЛОНГ,6,536.9,1.84,True,3.74,True,17.12,True,1,-1,0,0,3,0,2,1,-1,1
TATN,2025-11-01,ЛОНГ,5,537.4,4.35,True,2.16,True,11.72,True,1,-1,0,0,3,0,1,0,0,1
TATN,2025-11-24,ШОРТ,-4,601.0,-0.25,True,-2.11,True,1.21,False,-1,1,0,0,0,0,-2,-1,1,-2
TATN,2026-02-27,ЛОНГ,5,543.0,12.21,True,15.93,True,18.97,True,1,1,0,0,3,0,0,0,-1,1
TATN,2026-02-28,ЛОНГ,6,559.5,11.89,True,13.94,True,16.6,True,1,1,0,0,3,0,0,1,0,0
IRAO,2025-07-10,ЛОНГ,7,3.11,-0.21,False,2.93,True,-0.69,False,1,1,0,0,3,0,1,0,0,1
IRAO,2025-07-11,ЛОНГ,7,3.06,1.8,True,3.61,True,1.01,True,1,1,0,0,3,0,1,0,0,1
IRAO,2025-07-12,ЛОНГ,5,3.06,1.83,True,3.4,True,1.39,True,2,-2,0,0,3,0,2,0,-1,1
IRAO,2025-07-13,ЛОНГ,5,3.06,3.65,True,3.21,True,3.55,True,2,-1,0,0,3,0,1,0,-1,1
IRAO,2025-07-14,ЛОНГ,7,3.12,2.31,True,1.51,True,2.15,True,2,-1,0,0,3,1,1,0,-1,2
IRAO,2025-07-16,ЛОНГ,6,3.12,1.78,True,1.7,True,4.94,True,1,2,0,0,3,0,0,0,0,0
IRAO,2025-07-17,ЛОНГ,5,3.12,1.54,True,1.77,True,5.22,True,0,1,0,0,3,1,0,0,0,0
IRAO,2025-08-11,ШОРТ,-4,3.29,-0.52,True,-3.39,True,-3.06,True,-1,1,0,0,0,0,-2,0,0,-2
IRAO,2026-01-08,ШОРТ,-7,3.21,3.57,False,5.43,False,9.67,False,-1,-1,0,0,-2,0,-2,0,0,-1
IRAO,2026-01-14,ШОРТ,-4,3.21,5.18,False,9.57,False,9.66,False,-1,1,0,0,-2,-1,-1,0,0,0
IRAO,2026-01-16,ШОРТ,-4,3.45,-0.73,True,2.05,False,0.39,False,-2,1,0,0,-2,0,-2,1,1,-1
IRAO,2026-01-18,ШОРТ,-4,3.44,2.58,False,4.89,False,0.23,False,-2,1,0,0,0,0,-2,0,1,-2
IRAO,2026-02-01,ШОРТ,-5,3.55,-3.31,True,-3.88,True,-6.25,True,-1,-2,0,0,-2,0,0,0,0,0
IRAO,2026-02-02,ШОРТ,-4,3.55,-2.73,True,-3.03,True,-6.44,True,-1,-1,0,0,-2,0,0,0,0,0
IRAO,2026-02-03,ШОРТ,-4,3.52,-2.01,True,-3.46,True,-5.97,True,-1,-1,0,0,-2,0,0,0,0,0
IRAO,2026-02-04,ШОРТ,-4,3.46,-2.81,True,-3.56,True,-4.54,True,-1,-1,0,0,-2,0,0,0,0,0
